marketHashName,youpinId,buffId,c5Id,haloskinsId
AK-47 | Aquamarine Revenge (Battle-Scarred),49625,33858,23293,23293
AK-47 | Aquamarine Revenge (Factory New),43653,33859,24721,24721
AK-47 | Aquamarine Revenge (Field-Tested),1953,33860,22516,22516
AK-47 | Aquamarine Revenge (Minimal Wear),4658,33861,24347,24347
AK-47 | Aquamarine Revenge (Well-Worn),6266,33862,24342,24342
AK-47 | Asiimov (Battle-Scarred),14605,763353,553480568,553480568
AK-47 | Asiimov (Factory New),43398,763469,553480796,553480796
AK-47 | Asiimov (Minimal Wear),1627,763311,553480506,553480506
AK-47 | Asiimov (Well-Worn),51175,763504,553480815,553480815
AK-47 | Baroque Purple (Battle-Scarred),9564,775142,553487333,553487333
AK-47 | Baroque Purple (Field-Tested),3286,774893,553487074,553487074
AK-47 | Baroque Purple (Minimal Wear),2703,775915,553487026,553487026
AK-47 | Baroque Purple (Well-Worn),50237,775853,553486785,553486785
AK-47 | Black Laminate (Battle-Scarred),51567,33863,22503,22503
AK-47 | Black Laminate (Field-Tested),5375,33865,22496,22496
AK-47 | Black Laminate (Minimal Wear),44387,33866,22579,22579
AK-47 | Black Laminate (Well-Worn),49798,33867,25440,25440
AK-47 | Bloodsport (Factory New),43663,33868,553370749,553370749
AK-47 | Bloodsport (Field-Tested),606,33869,553370741,553370741
AK-47 | Bloodsport (Well-Worn),35271,33871,553419772,553419772
AK-47 | Blue Laminate (Factory New),1219,33872,23778,23778
AK-47 | Blue Laminate (Field-Tested),35239,33873,22599,22599
AK-47 | Blue Laminate (Minimal Wear),984,33874,22358,22358
AK-47 | Blue Laminate (Well-Worn),54603,33875,25272,25272
AK-47 | Cartel (Battle-Scarred),45234,33876,25191,25191
AK-47 | Cartel (Factory New),3265,33877,24348,24348
AK-47 | Cartel (Field-Tested),178,33853,23246,23246
AK-47 | Cartel (Minimal Wear),1642,33878,22962,22962
AK-47 | Cartel (Well-Worn),53725,33879,25168,25168
AK-47 | Case Hardened (Battle-Scarred),47636,33880,22974,22974
