marketHashName,youpinPrice,youpinCount,buffPrice,buffCount,c5Price,c5Count,haloskinsPrice,haloskinsCount,minPriceCny,maxPriceCny,spreadPct
Sealed Graffiti | Chef Kiss (Tracer Yellow),4.39,93,1.81,40,19.9,25,20.54,25,1.81,20.54,1034.81
Souvenir G3SG1 | Desert Storm (Battle-Scarred),2.64,28,19.79,29,3.67,22,7.86,20,2.64,19.79,649.62
Sealed Graffiti | Smooch (Cash Green),1.78,98,1,89,3.84,20,4,20,1,4,300.0
Sealed Graffiti | Goofy (Brick Red),2.97,53,1.59,56,5.46,27,5.66,27,1.59,5.66,255.97
Sticker | xsepower | Berlin 2019,1.05,117,1.27,50,1.9,24,3.31,23,1.05,3.31,215.24
R8 Revolver | Crimson Web (Well-Worn),1.66,47,1.66,36,2.51,26,5.17,26,1.66,5.17,211.45
Sticker | Jame | Berlin 2019,1.23,96,1.07,164,2.06,37,3.24,38,1.07,3.24,202.8
StatTrak™ P2000 | Ivory (Well-Worn),2.23,32,2.68,60,2.06,37,6.07,24,2.06,6.07,194.66
StatTrak™ SG 553 | Atlas (Battle-Scarred),3.89,27,1.38,33,1.66,34,1.73,20,1.38,3.89,181.88
Sticker | cajunb | London 2018,3.97,38,2.99,35,3.84,24,8.14,21,2.99,8.14,172.24
StatTrak™ MAC-10 | Rangeen (Well-Worn),8.77,33,3.44,31,4.55,26,4.76,22,3.44,8.77,154.94
Souvenir P2000 | Grassland (Well-Worn),1.6,45,1.92,79,3.9,20,4.07,20,1.6,4.07,154.38
Sealed Graffiti | OMG (Battle Green),3.96,22,1.56,49,2.41,27,2.56,21,1.56,3.96,153.85
Sticker | sergej (Foil) | Berlin 2019,2.58,269,2.5,89,6,24,6.21,23,2.5,6.21,148.4
Desert Eagle | Urban Rubble (Well-Worn),2.56,66,1.97,46,4.58,69,4.76,69,1.97,4.76,141.62
Sticker | REZ | Katowice 2019,3.28,46,2.23,42,5.15,35,5.31,34,2.23,5.31,138.12
Sealed Graffiti | Shaolin,2.22,68,1.98,78,3.14,42,4.69,35,1.98,4.69,136.87
StatTrak™ UMP-45 | Corporal (Field-Tested),3.74,26,3.65,94,3.4,31,7.86,26,3.4,7.86,131.18
Sealed Graffiti | Smirk (Bazooka Pink),7.34,46,4.9,30,4.89,23,10.48,21,4.89,10.48,114.31
Sticker | Sico (Foil) | Berlin 2019,9.99,25,8.36,32,7.28,24,15.44,22,7.28,15.44,112.09
Sticker | Edward (Foil) | Katowice 2019,16.89,64,14.5,83,14.45,40,29.78,39,14.45,29.78,106.09
Galil AR | Rocket Pop (Battle-Scarred),4.99,65,5.14,61,9.93,25,10.27,24,4.99,10.27,105.81
Sticker | Headless Chicken,5.85,146,4.99,58,6.48,33,9.72,30,4.99,9.72,94.79
Sticker | f0rest | London 2018,3.45,89,3.4,122,6.38,23,6.62,23,3.4,6.62,94.71
Souvenir Desert Eagle | Urban DDPAT (Well-Worn),5.88,60,6.1,104,10.99,36,11.38,30,5.88,11.38,93.54
P2000 | Imperial (Field-Tested),4.95,46,3.72,104,6.86,63,7.1,61,3.72,7.1,90.86
Sticker | flusha | Cluj-Napoca 2015,21.9,29,19.13,23,18.98,29,36.12,20,18.98,36.12,90.31
Sticker | ottoNd | Berlin 2019,2.58,45,4.04,105,4.72,101,4.9,99,2.58,4.9,89.92
Sealed Graffiti | Water Gun,9.87,34,13.6,30,15.4,20,18.61,22,9.87,18.61,88.55
Sticker | olofmeister (Foil) | Berlin 2019,5.07,70,5.89,210,5.47,65,9.45,58,5.07,9.45,86.39
