marketHashName,buffPrice,youpinPrice,steamPrice
★ Butterfly Knife | Slaughter (Field-Tested),8849.5,8690,13727.6
StatTrak™ M4A1-S | Printstream (Factory New),7898,7620,13541.31
★ StatTrak™ Butterfly Knife | Tiger Tooth (Factory New),8999.5,8951,13471.9
AWP | Silk Tiger (Factory New),7100,6559.5,12910.53
★ Karambit | Doppler (Factory New),9596,9550,12834.86
Desert Eagle | Blaze (Minimal Wear),6665.9,6665.9,12478.39
★ Karambit | Marble Fade (Factory New),8050,7919.5,12430.63
★ StatTrak™ Butterfly Knife | Autotronic (Minimal Wear),8050,8190,12405.96
★ Karambit,8119,8040,12403.96
M4A1-S | Imminent Danger (Minimal Wear),8322,8487.48,12135.64
AWP | Fade (Factory New),7698.5,7449,11975.88
★ Karambit | Crimson Web (Minimal Wear),7148.5,7240,11935.49
AK-47 | Fire Serpent (Well-Worn),6000,5936,11889.04
M4A4 | Poseidon (Minimal Wear),8548.5,8395,11889.04
Krakow 2017 Cobblestone Souvenir Package,8900,9100,11889.04
★ StatTrak™ M9 Bayonet | Fade (Factory New),7850,7838.88,11853.68
★ Karambit | Case Hardened (Minimal Wear),6288.5,6288,11826.18
★ Sport Gloves | Slingshot (Minimal Wear),7966.16,7799,11716.74
StatTrak™ AWP | Oni Taiji (Factory New),6899.5,6987.5,11636.99
★ Talon Knife | Doppler (Minimal Wear),6695,6950,11460.48
Glock-18 | Twilight Galaxy (Factory New),8250,8199,11404.1
★ Sport Gloves | Nocts (Minimal Wear),7650,7650,11337.11
★ M9 Bayonet | Fade (Factory New),7499.2,7457,11282.94
★ Hand Wraps | Badlands (Minimal Wear),8399.49,8245,11138
AK-47 | X-Ray (Field-Tested),6849.5,6578.97,11102.09
Sticker | Team Dignitas (Holo) | Cologne 2014,7088,6769,11084.72
AWP | Containment Breach (Factory New),6089.5,5629,10989.13
★ M9 Bayonet | Crimson Web (Minimal Wear),6299.5,6134.5,10980.03
★ Moto Gloves | Boom! (Minimal Wear),6988,6988,10965.07
M4A1-S | Blue Phosphor (Minimal Wear),6299.5,6882,10958.59
