marketHashName,steamPrice,steamCount,youpinPrice,youpinCount,buffPrice,buffCount,steamVsYoupinPct,steamVsBuffPct
Sticker | dupreeh | MLG Columbus 2016,827.95,10,24,10,39.7,15,3349.79,1985.52
Sticker | crush (Foil) | Katowice 2019,1563.35,5,69.7,18,78.87,20,2142.97,1882.19
Community Sticker Capsule 1,175.75,1222,17.6,1056,17.09,569,898.58,928.38
Sealed Graffiti | Puke (Bazooka Pink),18.47,15,1.88,16,1.95,29,882.45,847.18
Sticker | dexter (Foil) | Katowice 2019,227.44,3,27.2,12,19,24,736.18,1097.05
Sealed Graffiti | Puke (Battle Green),21.43,28,2.76,13,1.95,29,676.45,998.97
Sticker | Easy Peasy,28.53,47,3.91,72,5.2,65,629.67,448.65
Sealed Graffiti | Hop (Bazooka Pink),27.01,15,4.5,23,4.68,22,500.22,477.14
Patch | Easy Peasy,33.77,19,6.77,42,7.32,20,398.82,361.34
Negev | Palm (Minimal Wear),351.43,9,75,20,75,20,368.57,368.57
Souvenir SCAR-20 | Carbon Fiber (Minimal Wear),467.08,8,99.9,12,120,14,367.55,289.23
Sealed Graffiti | Puke (Dust Brown),9.23,59,1.98,36,1.54,37,366.16,499.35
Sealed Graffiti | Smooch (Monster Purple),6.82,22,1.47,75,1.27,92,363.95,437.01
Souvenir Sawed-Off | Rust Coat (Well-Worn),689.15,6,150,13,34.9,17,359.43,1874.64
Sealed Graffiti | Dead Now (Monster Purple),9.99,15,2.45,85,1.88,33,307.76,431.38
Sticker | coldzera (Gold) | Berlin 2019,278.44,9,69.59,32,69,59,300.11,303.54
StatTrak™ CZ75-Auto | Victoria (Factory New),5825.28,2,1498.48,13,1494,22,288.75,289.91
Sticker | Virtus.pro (Foil) | Katowice 2015,2403.17,3,620,13,757.5,12,287.61,217.25
Sealed Graffiti | Hop (Cash Green),5.85,10,1.78,35,1.7,44,228.65,244.12
Sealed Graffiti | Hop (Monster Purple),9.3,20,2.84,45,2.9,32,227.46,220.69
Sticker | Renegades (Foil) | London 2018,205.38,3,66.46,18,62.9,19,209.03,226.52
Autograph Capsule | Team SoloMid | Cluj-Napoca 2015,138.73,3,45.97,14,40,11,201.78,246.83
