marketHashName,buyPlatform,buyPriceCny,buyCount,sellPlatform,sellPriceCny,sellCount,spreadPct
Autograph Capsule | Group A (Foil) | Cologne 2015,YOUPIN,159.5,41,HALOSKINS,398.03,31,149.55
Sticker | sergej (Foil) | Berlin 2019,BUFF,2.5,89,HALOSKINS,6.21,23,148.4
Sticker | ableJ (Foil) | Berlin 2019,C5,2.09,299,YOUPIN,5.19,47,148.33
StatTrak™ MP7 | Armor Core (Well-Worn),BUFF,5.99,25,YOUPIN,14.79,20,146.91
Sealed Graffiti | Thoughtfull (Violent Violet),BUFF,1.19,41,YOUPIN,2.92,20,145.38
StatTrak™ MP9 | Bioleak (Well-Worn),C5,3.84,34,YOUPIN,9.42,21,145.31
Sealed Graffiti | 1G (Tracer Yellow),BUFF,1.02,28,YOUPIN,2.5,26,145.1
Sticker | tiziaN | London 2018,BUFF,3.66,24,YOUPIN,8.95,34,144.54
Souvenir P2000 | Grassland (Well-Worn),YOUPIN,1.6,45,C5,3.9,20,143.75
Sealed Graffiti | Chef Kiss (Tracer Yellow),BUFF,1.81,40,YOUPIN,4.39,93,142.54
Desert Eagle | Urban Rubble (Well-Worn),BUFF,1.97,46,HALOSKINS,4.76,69,141.62
Sticker | sergej (Foil) | Berlin 2019,YOUPIN,2.58,269,HALOSKINS,6.21,23,140.7
Sticker | sergej (Foil) | Berlin 2019,BUFF,2.5,89,C5,6,24,140.0
Sealed Graffiti | OMG (Jungle Green),BUFF,1.47,45,YOUPIN,3.51,47,138.78
Sticker | REZ | Katowice 2019,BUFF,2.23,42,HALOSKINS,5.31,34,138.12
Sealed Graffiti | NT (War Pig Pink),BUFF,1.1,25,YOUPIN,2.61,52,137.27
Sealed Graffiti | Shining Star (Cash Green),BUFF,2.52,51,YOUPIN,5.97,29,136.9
Sealed Graffiti | Shaolin,BUFF,1.98,78,HALOSKINS,4.69,35,136.87
Souvenir UMP-45 | Mudder (Factory New),YOUPIN,10.99,25,BUFF,26,25,136.58
Sealed Graffiti | Happy Cat (Dust Brown),BUFF,1.27,45,YOUPIN,3,51,136.22
Sealed Graffiti | OMG (Wire Blue),BUFF,1.36,74,YOUPIN,3.2,72,135.29
StatTrak™ SG 553 | Atlas (Battle-Scarred),C5,1.66,34,YOUPIN,3.89,27,134.34
Sticker | sergej (Foil) | Berlin 2019,YOUPIN,2.58,269,C5,6,24,132.56
Sticker | Keoz (Foil) | Berlin 2019,C5,3.87,27,YOUPIN,9,29,132.56
Desert Eagle | Urban Rubble (Well-Worn),BUFF,1.97,46,C5,4.58,69,132.49
Sealed Graffiti | 200 IQ (Shark White),BUFF,1.5,50,YOUPIN,3.48,63,132.0
Sealed Graffiti | 200 IQ (Blood Red),BUFF,1.98,20,YOUPIN,4.58,25,131.31
Sticker | REZ | Katowice 2019,BUFF,2.23,42,C5,5.15,35,130.94
Sealed Graffiti | Smooch (SWAT Blue),BUFF,1.09,33,YOUPIN,2.5,23,129.36
StatTrak™ Dual Berettas | Elite 1.6 (Battle-Scarred),C5,1.67,40,BUFF,3.81,27,128.14
